RA,DEC,AKR_ID,HSC_ID,Gm,Gme,Rm,Rme,Im,Ime,Zm,Zme,Ym,Yme,N2m,N2me,N3m,N3me,N4m,N4me,S7m,S7me,S9m,S9me,S11m,S11me,L15m,L15me,L18m,L18me,L24m,L24me,sum_y,y_pred
270.4869995,67.4076767,95926,80092975337591998,24.362,0.008,23.789,0.016,23.314,0.016,22.933000000000003,0.026,22.531,0.027000000000000003,20.534,0.119,19.851,0.078,19.63,0.07,,,,,,,,,,,,,21,1
270.342926,67.4176559,123311,80092975337593064,21.307,0.001,21.271,0.001,20.897,0.002,20.959,0.004,20.871,0.005,19.768,0.08199999999999999,19.578,0.055,19.375,0.052000000000000005,18.635,0.109,17.395,0.093,,,,,,,,,21,1
270.35049439999995,67.4753113,92623,80092975337600765,23.931,0.01,23.372,0.017,22.372,0.011,21.86,0.016,21.681,0.021,20.211,0.104,19.8,0.07,19.546,0.065,,,,,,,,,,,,,20,1
270.5430908,67.5604553,47892,80092975337611826,21.788,0.001,21.769,0.003,21.455,0.003,21.087,0.005,21.144,0.006999999999999999,19.975,0.092,19.736,0.053,19.817,0.054000000000000006,18.994,0.147,18.427,0.145,,,,,18.188,0.127,,,21,1
268.5972595,67.27344509999999,72731,80093520798439979,25.073,0.019,24.402,0.027000000000000003,23.787,0.038,23.449,0.049,23.115,0.06,20.526,0.124,19.929,0.069,19.637,0.062,,,,,,,,,,,,,20,1
268.51263430000006,67.3147583,121173,80093520798440949,22.607,0.002,22.068,0.003,21.686,0.005,21.587,0.006999999999999999,21.348000000000006,0.009000000000000001,19.664,0.081,19.275,0.057,19.345,0.056,18.893,0.124,18.184,0.13699999999999998,,,,,,,,,13,1
267.3072815,67.0331726,34146,80093928820325535,21.484,0.002,20.657,0.002,20.17,0.003,19.787,0.003,19.742,0.005,19.09,0.042,18.96,0.033,18.916,0.032,18.532,0.09,17.325,0.052000000000000005,17.676,0.064,17.69,0.103,17.621,0.095,,,11,1
267.34283450000004,67.1464386,51432,80093928820338115,23.101,0.004,22.666,0.01,21.943,0.006999999999999999,21.659,0.01,21.613000000000003,0.016,20.523000000000003,0.108,20.026,0.062,19.914,0.075,,,,,,,,,,,,,21,1
267.9565125,67.1025009,13910,80093653942428078,25.812,0.037000000000000005,24.431,0.041,23.503,0.031,22.715,0.024,22.275,0.028,20.14,0.098,19.896,0.07400000000000001,19.636,0.07200000000000001,,,,,,,,,,,,,18,1
268.0838318,67.1282043,10536,80093653942430836,23.54,0.009000000000000001,23.051,0.013,22.527,0.02,22.127,0.026,21.605,0.029,20.435,0.112,19.971,0.083,19.795,0.07200000000000001,,,,,,,,,,,,,21,1
268.30233760000004,67.21067049999999,131442,80093653942440336,21.079,0.001,21.182,0.001,20.693,0.002,20.656,0.003,20.637,0.004,20.353,0.132,20.511,0.109,20.016,0.07400000000000001,,,18.488,0.152,,,,,,,,,21,1
269.1510925,67.2578125,46063,80093383359483546,23.042,0.003,22.507,0.006,22.026,0.006999999999999999,21.531,0.009000000000000001,21.34,0.011,19.811,0.09,19.573,0.065,19.475,0.07,,,,,,,18.35,0.14800000000000002,17.824,0.113,,,21,1
269.01577760000004,67.25765229999999,68230,80093383359484142,24.629,0.008,23.451,0.011,22.914,0.01,22.604,0.014,22.455,0.019,20.29,0.106,19.873,0.066,19.489,0.068,,,,,,,,,,,,,19,1
269.1315002,67.3383408,132882,80093383359494446,22.924,0.003,21.696,0.003,21.015,0.003,20.679,0.004,20.403,0.005,19.303,0.055,18.828,0.031,18.413,0.024,18.057,0.071,16.838,0.048,17.105,0.045,16.838,0.048,16.455,0.034,16.249000000000002,0.092,21,1
268.8618469,67.3720551,46868,80093383359501349,23.221,0.005,22.517,0.006,21.843000000000004,0.008,21.346,0.009000000000000001,21.119,0.011,19.859,0.086,19.511,0.057,19.385,0.061,,,,,,,17.637999999999995,0.108,17.363,0.092,,,17,1
272.9381409,67.0416412,44558,80097777111026683,22.613000000000003,0.004,22.009,0.004,21.12,0.004,20.713,0.006,20.573,0.011,19.646,0.073,19.551,0.058,19.12,0.051,,,,,,,,,16.835,0.065,,,13,1
272.8080139,67.0340347,44522,80097777111030171,23.29,0.003,22.744,0.006999999999999999,22.049,0.006,21.749,0.009000000000000001,21.536,0.01,19.836,0.08900000000000001,19.227,0.051,19.172,0.04,18.247,0.099,17.454,0.057,17.776,0.068,17.502,0.099,17.820999999999994,0.11,,,19,1
272.6063538,67.12323,80773,80097777111036277,24.16800000000001,0.006999999999999999,23.58,0.014,22.989,0.012,22.59,0.022,22.153,0.02,20.702,0.138,20.336,0.08,20.042,0.076,,,,,,,,,,,,,21,1
272.9889832,67.0880127,120114,80097777111041058,21.034,0.001,21.325,0.002,20.999,0.005,20.918000000000006,0.008,20.737,0.008,20.186,0.102,20.11,0.068,20.134,0.085,,,,,,,,,,,,,21,1
271.12118530000004,67.6046753,43599,80098339751746304,24.82,0.016,23.367,0.019,22.309,0.01,21.647,0.012,21.155,0.012,19.734,0.063,19.169,0.035,18.987,0.031,18.627,0.106,17.224,0.08,18.055,0.109,17.305,0.093,17.308,0.081,,,12,1
271.0125732,67.63762659999999,97933,80098339751750437,22.331,0.002,21.82800000000001,0.003,21.519,0.004,21.401,0.008,21.302,0.01,19.806,0.083,19.529,0.061,19.423,0.06,,,,,,,,,,,,,21,1
271.0217285,67.534256,42788,80098335456791351,22.089,0.001,22.002,0.003,21.744,0.004,21.601,0.006999999999999999,21.454,0.009000000000000001,19.906,0.063,19.513,0.044,19.495,0.04,,,18.639,0.15,,,,,18.037,0.119,,,21,1
271.1802063,67.5925064,103061,80098202312789152,23.378,0.005,22.817,0.009000000000000001,22.072,0.006999999999999999,21.659,0.011,21.469,0.015,19.489,0.075,19.449,0.062,19.266,0.061,,,,,,,,,,,,,19,1
271.30377200000004,67.62483979999999,115747,80098202312795541,20.907,0.001,20.842,0.002,20.578000000000007,0.001,20.463,0.003,20.105,0.003,19.162,0.043,18.99,0.033,19.064,0.034,19.059,0.14300000000000002,18.224,0.114,,,,,,,,,21,1
